RefSeq	Log2_FC	logCPM	LR	Pval	Padj	Chr	Strand	Start	End	Symbol	txLength	countLength	WL650_none_aortic_HAoEC_none_hsap_1487_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL647_none_aortic_HAoEC_none_hsap_2139_Basal_TCAG1Aligned_uniq_sortedByReadname.bam	WL649_none_aortic_HAoEC_none_hsap_1487_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam	WL645_none_aortic_HAoEC_none_hsap_2139_TNFa.DMSO_TCAG1Aligned_uniq_sortedByReadname.bam
NM_001184780	1.6665552997375e-17	-3.92635065335074	0	1	1	chr15	+	69222838	69349501	NOX5	126663	2629	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184789	0.620384221981788	4.75664869973239	1.47022850498098	0.22530964422701	1	chr10	-	34398487	35104253	PARD3	705766	5761	4.04196896310323	4.74195350009896	5.08351193281733	4.94328062603628
NM_001184796	0.06229366861506	7.38686530752442	0.0173667606354577	0.895155928661943	1	chr12	+	56521985	56538460	ESYT1	16475	4277	7.27874111834624	7.42705282814471	7.33839811881007	7.49197823858799
NM_001184808	0.0916001893411977	5.82875236277491	0.0373512979759241	0.846751561617262	1	chrX	-	149934808	150067289	CD99L2	132481	3496	5.72652356126455	5.8338614883313	5.85310321143762	5.89053077904692
NM_001184813	-0.172856672585739	1.56800943863398	0.1119356420058	0.737951105309301	1	chr19	-	43011457	43032661	CEACAM1	21204	3231	2.12849741564949	0.977125774615349	1.66195828301041	1.10667565294443
NM_001184823	-0.141881967452098	5.74307831742574	0.0881829879035809	0.766499944763478	1	chr10	+	76969911	76991207	VDAC2	21296	1429	5.65720851811949	5.93262027204626	5.3789676298574	5.92666201363686
NM_001184826	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	-	43370612	43383871	PSG1	13259	1985	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184837	0.116831441391473	-1.46524062839636	0.0184338040930705	0.892002201939925	1	chrX	-	19007424	19140755	GPR64	133331	4763	-0.709738462453674	-6.92635048729141	-0.590608122086162	-6.92635048729141
NM_001184867	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	+	161676761	161684142	FCRLA	7381	2078	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184876	6.43526337019903	-2.01175778587966	16.9162295787269	3.90661382928773e-05	0.00214444790432032	chrX	+	101967103	101972661	GPRASP2	5558	504	-6.92635048729141	-6.92635048729141	-6.9263504872914	-0.563035910242824
NM_001184879	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	-	160510883	160549306	CD84	38423	8279	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184883	-0.0644127935349767	7.22857582863556	0.0184908238809717	0.891836325888962	1	chr11	+	64018994	64036924	PLCB3	17930	5527	6.993128948314	7.49278417674331	6.99281820898705	7.36436110139425
NM_001184888	0.0342660007806093	5.12529228656542	0.00451164708107399	0.946447326634217	1	chr15	-	23004683	23034427	NIPA2	29744	3085	5.01177189416938	5.15484610348121	5.46983702246259	4.7655440674046
NM_001184891	-0.136049964696258	5.11564177205175	0.0675502163324211	0.794937637088964	1	chr1	+	154955769	154965587	FLAD1	9818	1910	5.3721429721267	4.94345884300669	4.73171504590947	5.31040296139711
NM_001184896	0.158242258049467	7.52533871996944	0.110745749343351	0.739296703001572	1	chrX	-	53963112	54071569	PHF8	108457	5907	7.45100003549611	7.43058805953397	7.72295151626548	7.47513409030568
NM_001184902	0.141384925765202	6.7783091257373	0.0837689037959422	0.772253425596316	1	chr19	-	48711342	48759203	CARD8	47861	5502	6.4496043357514	6.94033829993491	6.86522604464497	6.80781508263557
NM_001184906	0.370552467464627	5.72973548162975	0.593443256774123	0.44109071301903	1	chr17	-	37408896	37557909	FBXL20	149013	10285	5.44915428329567	5.60717471096838	5.99800936499069	5.79964630415559
NM_001184924	1.6665552997375e-17	-3.92635065335074	0	1	1	chrX	-	152157367	152162671	PNMA5	5304	3199	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184937	0.331006743485639	4.89322976818596	0.426400524372333	0.513760462388112	1	chr2	+	120770603	120936697	EPB41L5	166094	6476	5.04316228124559	4.35018099233881	4.97487854627638	5.08027394227981
NM_001184940	-0.049491196293652	6.53730432754394	0.010889470096707	0.91688951806252	1	chr9	-	34398181	34458568	FAM219A	60387	3645	6.51822904660832	6.59854753978173	6.39367140820521	6.62402449208777
NM_001184957	-2.98477045121891	-3.59801532774275	2.29726008543977	0.129602438471443	0.98058768668485	chr3	+	14716605	14814543	C3orf20	97938	2826	-3.65858380541374	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184961	0.581692253410614	5.78228793216581	1.34156834660396	0.246757576423491	1	chr7	+	94285636	94299006	PEG10	13370	6617	5.89942842597337	4.95612930146133	6.11525060941625	5.9040184512096
NM_001184963	1.6665552997375e-17	-3.92635065335074	0	1	1	chr10	+	43867091	43871783	FXYD4	4692	635	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001184970	0.224422274273101	6.12924891366793	0.210556129395442	0.646331864313647	1	chr22	-	43265771	43411184	PACSIN2	145413	3287	6.09857326041087	5.86330877034477	6.59733430599956	5.81329200158129
NM_001184977	0.896290459446843	2.28429251289064	2.5362763151337	0.111256891709132	0.901190340114431	chr20	-	33890368	33999945	UQCC1	109577	2244	0.862232801507875	2.45073704242974	2.41601058656705	2.72490909022208
NM_001184990	0.213958264523291	4.23085650483777	0.184835015571551	0.667250613706213	1	chr4	-	140211070	140223705	NDUFC1	12635	721	3.76157136010358	4.31563786884571	3.654455667822	4.8460103219566
NM_001184992	-0.319440728605315	4.32750485136934	0.44539296499304	0.504530920519973	1	chr17	+	29297955	29326929	RNF135	28974	2220	4.40057527860618	4.54541767512844	4.17343577771544	4.13425422482475
NM_001184999	0.280875800008625	6.55270333654892	0.330479669146072	0.565376777927192	1	chr16	-	15688225	15737023	KIAA0430	48798	7685	6.44491117468566	6.32118917677951	6.99699093193923	6.33087243351651
NM_001185	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	-	99564349	99573735	AZGP1	9386	1265	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001185022	-1.25213699329867	2.06215074079068	5.78034483736813	0.0162063615675366	0.227616403241579	chr17	-	7163221	7166512	CLDN7	3291	1442	2.19708399046278	2.82076437449236	1.27895789217916	1.24876155668019
NM_001185024	0.128867534389453	6.76350725511573	0.0725243732666598	0.787696141670837	1	chr22	+	20119363	20135530	ZDHHC8	16167	3220	6.57624605720665	6.78803099640983	6.54383052767536	7.07792992184738
NM_001185059	-0.253911443689659	4.00961434651517	0.269282327999336	0.603813599425345	1	chr9	-	88902647	88969402	ZCCHC6	66755	5570	4.05126208188957	4.17096563314559	3.55733338975544	4.15470881380755
NM_001185073	0.174890909063098	4.03069191419612	0.132391682850599	0.715965035576137	1	chr7	+	90032647	90045268	CLDN12	12621	3621	3.91197635311414	3.95510938928023	4.21223757435838	4.00503453102761
NM_001185078	-0.114061802638265	10.0106035735284	0.0574045317354148	0.81064623511561	1	chr17	-	79825594	79829282	ARHGDIA	3688	1776	9.8373572354056	10.2757206142957	9.85610472035528	10.0288694954047
NM_001185080	-0.488955781692311	3.48507859492582	0.905210875100135	0.341388315904539	1	chr7	-	100875372	100882101	CLDN15	6729	2131	3.7765905065124	3.59355897178257	2.86877675157952	3.51840066279742
NM_001185082	-0.346426933705962	0.90000154310829	0.358229281771639	0.54949129539516	1	chrX	+	146993468	147032647	FMR1	39179	4273	0.193676457450451	1.6108201509548	0.528945739022282	0.649308051354572
NM_001185092	-2.20551988819	0.292692099968867	4.01647296597065	0.0450578489660899	0.48704654321907	chr1	+	161087861	161095235	NIT1	7374	2127	1.21076921325547	0.20696039199679	-4.3448530344316	0.166903117677645
NM_001185095	-0.0254965107725848	6.34353725720642	0.00287535456332932	0.957236063192341	1	chr9	+	133971862	133998539	AIF1L	26677	3515	6.80221829577745	5.75307084098758	6.67693669887157	5.82751780856544
NM_001185100	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	+	35820071	35838264	CD22	18193	3173	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001185114	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	+	158323485	158327343	CD1E	3858	1820	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001185117	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	-	43198763	43205925	CLDN19	7162	3517	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001185149	1.6665552997375e-17	-3.92635065335074	0	1	1	chr4	-	184242916	184243579	CLDN24	663	663	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001185158	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	+	207070787	207077484	IL24	6697	1621	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001186	0.102913829979743	4.41649243561529	0.0452113671077257	0.831615844628267	1	chr21	+	30671219	30718469	BACH1	47250	5641	4.49440682501224	4.17337908492378	4.79272598827118	4.08062450656807
NM_001187	1.6665552997375e-17	-3.92635065335074	0	1	1	chr21	-	11057795	11098937	BAGE	41142	481	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001188	-1.07226971821147	3.32437659176309	2.82597687947236	0.0927504431479854	0.811826723649459	chr6	-	33540322	33548070	BAK1	7748	2193	3.71944383879775	3.60790453624962	1.66195828301041	3.49363549702198
NM_001189	-3.78104005005132	-3.4744056820966	3.8740022541777	0.0490394495255864	0.517963800956807	chr4	-	13542453	13546114	NKX3-2	3661	2241	-6.92635048729141	-3.34083683994003	-6.9263504872914	-6.92635048729141
NM_001190	-0.0680169941029227	5.55734117026245	0.0191773988077273	0.889859110741338	1	chr19	-	49298318	49314320	BCAT2	16002	1599	5.45266525590189	5.66834194617867	5.0939385792913	5.88985307405456
NM_001190158	1.6665552997375e-17	-3.92635065335074	0	1	1	chr16	-	55880065	55989943	CES5A	109878	2258	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190182	-1.7321051030809	-0.627190596686899	1.41657239798396	0.233968394412041	1	chr1	-	46085715	46089731	CCDC17	4016	2223	0.583522409287628	-2.00293692450313	-6.9263504872914	-0.753179770940338
NM_001190214	0.51237864220907	4.25258481434765	1.14233419053415	0.285159641102847	1	chr15	-	43825659	43882451	PPIP5K1	56792	5637	4.11468989128172	3.81684054565351	4.54167503771941	4.41424293996346
NM_001190228	1.6665552997375e-17	-3.92635065335074	0	1	1	chr9	+	140122017	140124090	RNF224	2073	1503	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190255	-0.755569908477654	-2.1641990292126	0.599217230559145	0.438876844026144	1	chrX	-	47917566	47931025	ZNF630	13459	2590	-1.20417828756478	-6.92635048729141	-1.97617888368404	-6.92635048729141
NM_001190267	0.164121190801354	3.59549412137881	0.111131808793051	0.738859248701885	1	chr2	+	234160216	234204320	ATG16L1	44104	3401	3.58939492329348	3.36772192300072	4.01054018036038	3.27438883476316
NM_001190274	0.472974182764668	4.88429723566797	0.985040548022223	0.320957536327022	1	chr2	-	48034058	48132932	FBXO11	98874	4055	4.79287440289331	4.4290508679686	5.31058069470913	4.85714770708876
NM_001190328	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	+	19639669	19648393	YJEFN3	8724	882	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190347	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	-	35988118	36004560	DMKN	16442	1855	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190388	0.0312768485141977	3.4914211723072	0.00386230154995815	0.950445435937526	1	chr9	-	36214438	36277053	GNE	62615	5091	3.63954699062204	3.27637406668474	3.31742139412878	3.65867734448049
NM_001190415	0.0301094843112212	6.8972459928117	0.00378679550863126	0.950931592880643	1	chr7	-	99704692	99717481	TAF6	12789	2433	6.61331860488251	7.12653572623263	6.92630528872007	6.87407622688367
NM_001190441	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	+	40146533	40151287	LGALS16	4754	624	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190442	0.155023036200787	8.04229066547746	0.106270891542181	0.744430283160409	1	chr5	+	95997740	96110385	CAST	112645	4456	8.01045789774993	7.90278394293479	8.28229089958262	7.94098179603439
NM_001190447	0.172331877518929	4.46120541502513	0.128009896319186	0.720504436323324	1	chr3	+	135684514	135866752	PPP2R3A	182238	4379	4.32851643771457	4.40255144927081	4.66568155692387	4.41046770743104
NM_001190452	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	22022436	22023991	MTRNR2L1	1555	1555	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190460	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	39346138	39346891	KRTAP9-1	753	753	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190462	1.6665552997375e-17	-3.92635065335074	0	1	1	chr11	+	94245694	94265289	C11orf97	19595	604	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190467	-4.94356528498958	-3.03559017580104	7.8833694604481	0.00498914391006081	0.0891362333667279	chr19	-	7933604	7939326	FLJ22184	5722	4517	-6.92635048729141	-2.18880619468969	-6.9263504872914	-6.92635048729141
NM_001190470	1.6665552997375e-17	-3.92635065335074	0	1	1	chr5	-	79945818	79946854	MTRNR2L2	1036	1036	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190472	1.6665552997375e-17	-3.92635065335074	0	1	1	chr20	-	55933495	55934878	MTRNR2L3	1383	1383	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190476	1.6665552997375e-17	-3.92635065335074	0	1	1	chr16	-	3421052	3422283	MTRNR2L4	1231	1231	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190478	1.6665552997375e-17	-3.92635065335074	0	1	1	chr10	+	57358749	57360487	MTRNR2L5	1738	1738	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190479	6.31150088651068	-2.10029507033564	16.0354056869399	6.21689665155773e-05	0.0029074771167435	chr15	-	40573644	40574787	ANKRD63	1143	1143	-6.92635048729141	-6.92635048729141	-6.9263504872914	-0.686974606973499
NM_001190481	0.010414220385651	4.56023671373553	0.000476699335138164	0.982580815022445	1	chr1	-	36197712	36235551	CLSPN	37839	8292	4.66149473959468	4.43710757019505	4.58912812693611	4.5301123454132
NM_001190482	0.038235607198407	3.36978433348172	0.00630454107286038	0.93671356171919	1	chr9	+	78505559	78977255	PCSK5	471696	9538	3.39871192602884	3.28532735411989	3.35835985902196	3.40154751272407
NM_001190487	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	+	142374130	142375525	MTRNR2L6	1395	1395	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190489	1.6665552997375e-17	-3.92635065335074	0	1	1	chr10	-	37890365	37891859	MTRNR2L7	1494	1494	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190702	1.58614582100825	-3.24346002254936	1.28189614119204	0.257546777418908	1	chr11	-	10529433	10530723	MTRNR2L8	1290	1233	-4.51607163017132	-6.92635048729141	-6.9263504872914	-3.06293747938121
NM_001190706	1.6665552997375e-17	-3.92635065335074	0	1	1	chr6	+	62284007	62284534	MTRNR2L9	527	527	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190708	1.6665552997375e-17	-3.92635065335074	0	1	1	chrX	-	55207823	55208944	MTRNR2L10	1121	1121	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190720	0.0503470819054797	4.3476947988702	0.00996656298730159	0.920477166767886	1	chr8	+	42128819	42190171	IKBKB	61352	4008	4.57608249130612	4.03159437267917	4.24691179184951	4.46061824063898
NM_001190726	1.6665552997375e-17	-3.92635065335074	0	1	1	chr12	-	15260715	15374411	RERG	113696	2268	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190738	0.189614866019272	7.45553896141791	0.157166593282085	0.691778676645034	1	chr9	-	14081841	14398982	NFIB	317141	8159	7.29252107273685	7.41690416951963	7.64325614020114	7.44546343533742
NM_001190764	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	-	55890611	55895627	TMEM238	5016	662	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190765	1.6665552997375e-17	-3.92635065335074	0	1	1	chr12	+	10034087	10048432	KLRF2	14345	731	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190766	1.6665552997375e-17	-3.92635065335074	0	1	1	chr6	+	17102488	17131603	STMND1	29115	1322	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190787	6.48355001112841	-2.00586463682765	17.1515819376034	3.45121865652412e-05	0.00199875164884568	chr5	-	54515424	54523143	MCIDAS	7719	2104	-6.92635048729141	-6.92635048729141	-0.272256824162995	-6.92635048729141
NM_001190790	1.6665552997375e-17	-3.92635065335074	0	1	1	chr17	+	20483036	20484224	CDRT15L2	1188	1048	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190791	0.172101317718049	5.24667988065971	0.127627344989765	0.720904885485942	1	chr19	+	9251055	9274091	ZNF317	23036	3979	5.21011161691967	5.07706562227538	5.56908795619619	5.06234156567294
NM_001190799	0.215911151847494	3.40468213828658	0.181514876441568	0.670074599008107	1	chr4	+	128802015	128820377	PLK4	18362	3772	3.27195901221217	3.24459261902962	3.8598413040385	3.08843121371274
NM_001190807	0.00192215737360045	2.41188257596	1.60303129383976e-05	0.996805448444131	1	chr18	-	71920526	71959251	CYB5A	38725	808	1.50936831812248	3.01088807875851	1.83768433310762	2.70655356249656
NM_001190810	1.60049638867687	-0.586134154766489	4.50930571217858	0.033710921775095	0.401015977749214	chr10	+	48215723	48237508	AGAP9	21785	2387	-2.42945018108117	-1.43390950870805	0.569359353746667	-1.13926305678145
NM_001190821	-0.706423718913019	6.65496460415478	2.16438151594065	0.141241440714924	1	chr18	-	46446222	46477081	SMAD7	30859	3084	6.71476209719524	7.18810138714748	6.15894141445642	6.33137167135347
NM_001190826	-0.264397134921251	3.80979350383524	0.302238010853355	0.582482778880098	1	chr20	+	58508818	58523702	FAM217B	14884	5119	3.54183851189473	4.24855203749609	3.37555543483691	3.88774018528913
NM_001190828	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	+	161632904	161648444	FCGR2B	15540	2140	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190836	0.000835544616331114	9.46129432135698	2.958197683256e-06	0.998627686158808	1	chr2	-	74588280	74619214	DCTN1	30934	4368	9.43882978867984	9.47676322739107	9.5881897531591	9.32905714063761
NM_001190844	-6.08691437315356	-2.37286443761926	11.7579775719273	0.000605830172122825	0.0165320054750174	chr19	-	17546317	17559376	TMEM221	13059	1930	-6.92635048729141	-1.02690604490902	-6.9263504872914	-6.92635048729141
NM_001190864	0.103766352317597	3.30847949200852	0.0442788418897564	0.83333568320592	1	chr12	+	27863705	27909237	MRPS35	45532	1787	3.29821617184207	3.15950133581299	3.654455667822	3.01076866697468
NM_001190899	1.6665552997375e-17	-3.92635065335074	0	1	1	chr20	-	1959401	1974931	PDYN	15530	2726	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190907	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	+	137761177	137803050	AKR1D1	41873	2627	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001190919	0.0192731577072789	5.43959449784728	0.00163270283606209	0.967768874666988	1	chr17	+	38218445	38250120	THRA	31675	2514	5.36346494465377	5.49008042088	5.50020509567169	5.39211676891325
NM_001190945	-0.261535296245308	6.94213038270095	0.174478148444678	0.67616221972602	1	chr9	-	123664670	123691451	TRAF1	26781	4303	6.99634008383018	6.88619396780893	5.78395126364109	7.57379155354798
NM_001190946	0.343380023969507	5.69139136917863	0.510773253619561	0.474804311978795	1	chr5	-	176946789	176981548	FAM193B	34759	2952	5.49527900720866	5.51026808284351	6.00998811977342	5.68244192758749
NM_001190972	0.00752430679778016	-1.77063820327424	0.000209949897568507	0.988439338141302	1	chr8	-	91970705	91997485	C8orf88	26780	1053	-0.887726440062129	-6.92635048729141	-1.40685704656919	-3.96707200003978
NM_001190996	-0.205676007507227	5.13468050654533	0.145336869527057	0.7030320485216	1	chr7	+	98923495	98963885	ARPC1A	40390	1605	4.84010674203117	5.55815037874021	5.22145924164124	4.76702103546674
NM_001191	-0.10808100045797	8.60047722663818	0.0518840376979881	0.819816747859175	1	chr20	-	30252260	30310656	BCL2L1	58396	2370	8.27886775263039	8.96555188552183	8.26854938985585	8.75976694255962
NM_001191003	-0.085739244080955	4.92458283028289	0.0325573690758136	0.85680981784298	1	chr10	+	106013951	106027222	GSTO1	13271	1057	4.66956316712317	5.20878389708097	4.58912812693611	5.11780058466988
NM_001191005	-0.182861537138312	4.81759077188304	0.144311514131255	0.704031856290886	1	chr1	-	24290836	24306953	SRSF10	16117	7789	4.69547821218194	5.05890640753853	4.34328773686244	5.0441834852461
NM_001191013	1.91928883809107	0.0717959139317411	5.75779577230736	0.0164156529251683	0.229988304744502	chr10	+	106028630	106059176	GSTO2	30546	1392	-6.92635048729141	-0.335792305044889	-6.9263504872914	1.60645550714843
NM_001191016	-1.89842335469588	0.529741032821906	4.39413676689035	0.0360627117486683	0.42028039082848	chr11	-	104756444	104769397	CASP12	12953	1688	0.322070232519074	1.55268164833564	0.209071346991546	-2.29870153355776
NM_001191022	0.252739893418988	5.86357700768959	0.283877975380072	0.594170646524011	1	chr16	+	67596309	67673088	CTCF	76779	2980	5.84168603427731	5.60449440395115	6.13977962969149	5.81186167524122
NM_001191028	0.0256810427591704	5.09187154328134	0.0029264653956762	0.956858029776916	1	chr7	-	128594233	128695227	TNPO3	100994	4220	5.13343238081535	5.01652072611707	5.17801585542935	5.02332420207673
NM_001191030	0.300191646886068	0.615581179591186	0.134014919723732	0.714305020821872	1	chr17	+	62075710	62081644	PRR29	5934	3086	0.148207286855709	-0.0390416130456282	-1.25800253706001	1.73276157008497
NM_001191037	0.0382387025246248	6.07216887195865	0.00649375725367207	0.935772908423231	1	chr2	+	231921577	232037540	PSMD1	115963	3232	6.12081198360433	5.98095340731929	6.08682136207599	6.09134294668114
NM_001191054	1.6665552997375e-17	-3.92635065335074	0	1	1	chr12	-	133794897	133812422	ANHX	17525	1765	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001191055	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	+	53547990	53554380	ERVV-2	6390	2482	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001191058	1.6665552997375e-17	-3.92635065335074	0	1	1	chr7	-	31790792	32339016	PDE1C	548224	5184	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001191061	-0.426591864172578	5.64920493277157	0.798491857876712	0.371544662063858	1	chr11	-	790474	798269	SLC25A22	7795	2628	5.79911038413884	5.88334886771267	5.26055056073947	5.56848327880987
NM_001191323	1.95459203370376	-1.54781512233756	5.71504643027508	0.0168201197230193	0.234565115842812	chr15	+	33010204	33026870	GREM1	16666	4015	-1.77554042827746	-6.92635048729141	-0.682527228726183	-1.94915892878548
NM_001192	1.6665552997375e-17	-3.92635065335074	0	1	1	chr16	+	12058963	12061925	TNFRSF17	2962	994	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193267	-0.179066427699753	2.6718816370861	0.131372956955632	0.717012736015883	1	chr6	+	13574760	13615390	SIRT5	40630	4462	2.48001608676591	2.98364323087402	2.5124399355921	2.59788242265848
NM_001193268	0.685640818910061	1.24014949174419	1.66111198163879	0.197453253200895	1	chr19	-	46112657	46148775	EML2	36118	2889	0.148207286855709	1.34571183568544	1.20393159789217	1.69601709547513
NM_001193273	0.154282520328055	4.25466783414579	0.101835909040314	0.749637496702884	1	chr1	-	205055269	205091150	RBBP5	35881	4352	4.3512671001595	3.98013881585961	4.32274874154894	4.31676533622175
NM_001193282	1.6665552997375e-17	-3.92635065335074	0	1	1	chr4	+	2420671	2464690	CFAP99	44019	2144	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193286	-0.224494343056747	7.25445521839944	0.225255168857094	0.635064589176467	1	chr19	-	39369194	39390502	SIRT2	21308	1912	7.06867113041476	7.60431155050867	6.83808863611358	7.38590945865733
NM_001193288	1.6665552997375e-17	-3.92635065335074	0	1	1	chr9	-	19507449	19787017	SLC24A2	279568	10789	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193301	0.392175950030613	0.894016088548217	0.561717157687876	0.453569199910713	1	chr1	+	156119734	156147542	SEMA4A	27808	3219	0.101258306890205	1.04195494867103	0.608671659196017	1.33094639135491
NM_001193304	-0.0231112164847652	8.33040792010103	0.00238989207642248	0.96100972955387	1	chr2	-	96915945	96931751	TMEM127	15806	4570	8.30855713352654	8.37436492719761	8.32403943273997	8.31267192399361
NM_001193306	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	-	52249022	52255150	FPR1	6128	1371	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193307	0.116434951276414	3.62496746980799	0.0545151999951727	0.815384891184714	1	chr7	-	92728825	92747336	SAMD9	18511	6754	3.34430739749156	3.75373048611065	3.78029937429245	3.55305791477399
NM_001193308	1.6665552997375e-17	-3.92635065335074	0	1	1	chr1	+	27668482	27680423	SYTL1	11941	1966	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193312	-3.05681410958159	-1.40206768135743	13.2012977912874	0.000279755327237638	0.00924608444542126	chr7	+	40174574	40900366	SUGCT	725792	1506	-1.77554042827746	-0.281899068250554	-4.3448530344316	-3.44530688687483
NM_001193333	-1.90360169062368	0.0167131845548192	2.68861509212827	0.101067622250369	0.847346475680136	chr16	+	30194730	30200397	CORO1A	5667	1716	0.362448632646907	0.12952866897011	-6.9263504872914	0.457742947858009
NM_001193336	1.6665552997375e-17	-3.92635065335074	0	1	1	chr22	-	30920916	30942669	SEC14L6	21753	1261	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193340	0.650455360627315	-1.24815974082552	0.612939276947676	0.433683261970573	1	chr20	-	45186461	45313124	SLC13A3	126663	3889	-0.985695349232201	-4.70348564166785	-0.0116118856924473	-6.92635048729141
NM_001193341	1.68707800429859	-2.71372923486444	2.10928641062033	0.146407575148266	1	chr6	+	43612766	43638748	RSPH9	25982	1014	-3.65858380541374	-6.92635048729141	-6.9263504872914	-1.94915892878548
NM_001193374	1.6665552997375e-17	-3.92635065335074	0	1	1	chr19	+	7733971	7735340	RETN	1369	469	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
NM_001193375	-0.416883665535839	6.18425197152615	0.772204735818345	0.379535862670312	1	chr19	-	5891286	5904024	NDUFA11	12738	2633	6.24749291382801	6.49670973330547	5.86228133673664	6.04826163254111
NM_001193376	1.6665552997375e-17	-3.92635065335074	0	1	1	chr5	-	1253286	1295162	TERT	41876	3824	-6.92635048729141	-6.92635048729141	-6.9263504872914	-6.92635048729141
